decade	coll	BE going to	will
1830	hold	3	50
1830	hunt	0	0
1830	hurt	0	0
1830	improve	0	12
1830	include	0	4
1830	increase	0	44
1830	insist	0	0
1830	introduce	1	0
1830	join	2	32
1830	jump	0	0
1830	keep	1	137
1830	kick	0	0
1830	kill	1	23
1830	kiss	0	0
1830	knock	3	0
1830	know	0	78
1830	land	0	0
1830	last	0	19
1830	lay	1	29
1830	lead	0	68
1830	learn	0	43
1830	leave	4	125
1830	let	1	47
1830	lie	0	21
1830	like	0	6
1830	listen	0	38
1830	live	2	53
1830	look	2	75
1830	lose	1	47
1830	love	0	54
1830	make	19	453
1830	marry	6	15
1830	mean	0	2
1830	meet	2	77
1830	miss	0	8
1830	move	0	11
1830	murder	0	0
1830	need	0	33
1830	occur	0	12
1830	offer	0	19
1830	open	1	21
1830	paint	0	0
1830	pardon	0	36
1830	pass	2	74
1830	pay	1	54
1830	perceive	0	68
1830	permit	0	71
1830	pick	0	0
1830	place	0	30
1830	play	1	20
1830	please	0	29
1830	present	2	25
1830	prevent	0	33
1830	proceed	0	33
1830	produce	0	54
1830	propose	2	0
1830	protect	0	32
1830	prove	0	112
1830	provide	0	11
1830	pull	0	0
1830	put	2	89
1830	quit	0	0
1830	rain	3	0
1830	raise	0	31
1830	reach	0	26
1830	read	1	41
1830	receive	1	78
1830	recognize	0	5
1830	reduce	0	2
1830	remain	0	93
1830	remember	0	65
1830	render	0	65
1830	report	0	2
1830	require	0	98
1830	rest	0	18
1830	result	0	14
1830	retire	0	0
1830	return	2	94
1830	ride	2	0
1830	rise	2	53
1830	ruin	2	0
1830	run	2	27
1830	sail	1	0
1830	satisfy	0	23
1830	save	0	63
1830	say	49	175
1830	secure	0	25
1830	see	5	344
1830	seek	0	48
1830	seem	0	22
1830	sell	2	13
1830	send	8	75
1830	serve	1	98
1830	set	1	51
1830	settle	1	14
1830	share	0	14
1830	shoot	3	0
1830	show	2	210
1830	shut	0	0
1830	sing	1	16
1830	sit	0	18
1830	sound	0	0
1830	speak	3	81
1830	spend	0	4
1830	stand	1	79
1830	start	8	7
1830	stay	2	24
1830	steal	0	0
1830	step	1	0
1830	stick	0	0
1830	stop	2	20
1830	strike	0	25
1830	study	0	0
1830	succeed	0	14
1830	sue	0	0
1830	suffer	0	46
1830	suffice	0	30
1830	suggest	0	0
1830	supply	0	20
1830	support	0	12
1830	surprise	1	0
1830	survive	0	6
1830	take	8	377
1830	talk	0	27
1830	teach	1	44
1830	tear	2	0
1830	tell	17	221
1830	tend	0	21
1830	think	0	92
1830	throw	2	31
1830	travel	1	0
1830	treat	1	0
1830	trust	0	0
1830	try	3	72
1830	turn	3	79
1830	understand	0	40
1830	use	1	33
1830	visit	0	14
1830	vote	1	8
1830	wait	0	32
1830	wake	0	0
1830	walk	2	26
1830	want	0	17
1830	wash	0	0
1830	waste	0	0
1830	watch	0	24
1830	wear	0	17
1830	win	1	27
1830	work	0	25
1830	write	3	27
1830	yield	0	48
1840	accept	1	29
1840	act	0	32
1840	add	0	47
1840	admit	0	66
1840	affect	0	13
1840	afford	0	37
1840	agree	0	36
1840	allow	0	111
1840	answer	0	95
1840	appear	0	130
1840	apply	0	30
1840	arise	0	30
1840	arrest	1	0
1840	arrive	0	13
1840	ask	6	75
1840	attack	0	0
1840	attempt	0	12
1840	attend	0	23
1840	be	55	7170
1840	bear	0	122
1840	beat	1	0
1840	become	1	186
1840	begin	1	42
1840	believe	0	48
1840	benefit	0	4
1840	blow	2	0
1840	break	3	54
1840	bring	4	185
1840	build	0	15
1840	burn	0	16
1840	bury	0	0
1840	buy	1	30
1840	call	3	104
1840	carry	2	63
1840	catch	1	0
1840	cause	0	32
1840	cease	0	58
1840	change	0	29
1840	check	0	0
1840	choose	0	17
1840	clean	0	0
1840	clear	0	0
1840	climb	0	0
1840	close	0	20
1840	come	2	399
1840	consider	0	29
1840	contain	0	10
1840	continue	0	100
1840	cook	0	0
1840	cost	0	12
1840	cover	0	6
1840	create	0	14
1840	cross	1	0
1840	cry	0	0
1840	cut	4	21
1840	dance	0	0
1840	decide	0	12
1840	deliver	0	20
1840	demand	0	8
1840	depend	0	45
1840	destroy	1	30
1840	determine	0	8
1840	develop	0	5
1840	die	7	102
1840	disappear	0	6
1840	discover	0	29
1840	do	19	631
1840	draw	0	25
1840	drink	0	0
1840	drive	1	33
1840	drop	0	10
1840	eat	2	15
1840	enable	0	82
1840	end	0	34
1840	enjoy	0	21
1840	enter	1	44
1840	excuse	0	29
1840	explain	0	38
1840	explode	0	0
1840	face	0	1
1840	fail	1	31
1840	faint	0	0
1840	fall	0	62
1840	feed	0	0
1840	feel	0	70
